id,name
4,АФГАНИСТАН
8,АЛБАНИЯ
10,АНТАРКТИДА
12,АЛЖИР
16,"АМЕРИКАНСКОЕ САМОА"
24,АНГОЛА
28,"АНТИГУА И БАРБУДА"
31,АЗЕРБАЙДЖАН
32,АРГЕНТИНА
36,АВСТРАЛИЯ
40,АВСТРИЯ
44,БАГАМЫ
48,БАХРЕЙН
50,БАНГЛАДЕШ
51,АРМЕНИЯ
52,БАРБАДОС
56,БЕЛЬГИЯ
60,БЕРМУДЫ
64,БУТАН
68,БОЛИВИЯ
70,"БОСНИЯ И ГЕРЦЕГОВИНА"
74,"ОСТРОВ БУВЕ"
76,БРАЗИЛИЯ
84,БЕЛИЗ
86,"БРИТАНСКАЯ ТЕРРИТОРИЯ В ИНДИЙСКОМ ОКЕАНЕ"
92,"ВИРГИНСКИЕ ОСТРОВА (БРИТАНСКИЕ)"
96,БРУНЕЙ-ДАРУССАЛАМ
100,БОЛГАРИЯ
108,БУРУНДИ
112,БЕЛАРУСЬ
116,КАМБОДЖА
120,КАМЕРУН
124,КАНАДА
132,КАБО-ВЕРДЕ
144,ШРИ-ЛАНКА
148,ЧАД
152,ЧИЛИ
156,КИТАЙ
158,"ТАЙВАНЬ (КИТАЙ)"
166,"КОКОСОВЫЕ (КИЛИНГ) ОСТРОВА"
170,КОЛУМБИЯ
178,КОНГО
180,"КОНГО, ДЕМОКРАТИЧЕСКАЯ РЕСПУБЛИКА"
188,КОСТА-РИКА
191,ХОРВАТИЯ
192,КУБА
196,КИПР
203,"ЧЕШСКАЯ РЕСПУБЛИКА"
204,БЕНИН
208,ДАНИЯ
214,"ДОМИНИКАНСКАЯ РЕСПУБЛИКА"
218,ЭКВАДОР
222,ЭЛЬ-САЛЬВАДОР
226,"ЭКВАТОРИАЛЬНАЯ ГВИНЕЯ"
231,ЭФИОПИЯ
233,ЭСТОНИЯ
234,"ФАРЕРСКИЕ ОСТРОВА"
238,"ФОЛКЛЕНДСКИЕ ОСТРОВА (МАЛЬВИНСКИЕ)"
246,ФИНЛЯНДИЯ
250,ФРАНЦИЯ
266,ГАБОН
268,ГРУЗИЯ
270,ГАМБИЯ
274,"ГАЗА СЕКТОР (ПАЛЕСТИНА)"
275,"ПАЛЕСТИНСКАЯ ТЕРРИТОРИЯ, ОККУПИРОВАННАЯ"
276,ГЕРМАНИЯ
288,ГАНА
296,КИРИБАТИ
300,ГРЕЦИЯ
308,ГРЕНАДА
312,ГВАДЕЛУПА
316,ГУАМ
320,ГВАТЕМАЛА
324,ГВИНЕЯ
328,ГАЙАНА
332,ГАИТИ
344,ГОНКОНГ
348,ВЕНГРИЯ
352,ИСЛАНДИЯ
356,ИНДИЯ
360,ИНДОНЕЗИЯ
364,"ИРАН (ИСЛАМСКАЯ РЕСПУБЛИКА)"
368,ИРАК
372,ИРЛАНДИЯ
376,ИЗРАИЛЬ
380,ИТАЛИЯ
384,"КОТ Д`ИВУАР"
392,ЯПОНИЯ
398,КАЗАХСТАН
400,ИОРДАНИЯ
404,КЕНИЯ
